"","default","month","age","amount","address","employer","children","payfreq","marstat","home"
"1",0,21,25,1000,0.3,1.1,0,3,1,1
"2",0,23,40,NA,5.6,6.9,2,3,2,1
"3",0,24,21,1400,8.7,NA,0,3,1,2
"4",0,24,21,1200,21.5,3.3,0,3,1,2
"5",0,24,62,1500,1.2,1.1,0,3,1,2
"6",0,18,35,4000,9.6,4.5,0,3,3,1
"7",0,24,52,5000,28.4,6.4,0,3,2,1
"8",0,24,32,1000,2.8,2.1,0,3,1,2
"9",0,19,38,1500,0.2,4.6,2,1,2,2
"10",0,20,63,2000,17.8,12.9,0,1,2,1
"11",0,24,44,1300,8.1,12.6,2,3,2,1
"12",0,24,34,3000,8.1,0.8,3,3,2,1
"13",0,23,29,3000,5,11.6,0,2,2,2
"14",0,18,58,4000,2.5,2.8,3,3,2,1
"15",0,24,44,600,5,4.1,1,1,1,2
"16",0,21,26,1000,4,0.4,1,1,1,1
"17",0,24,27,1300,0.9,8.9,0,3,1,1
"18",0,24,36,1000,2.8,0.8,3,3,2,1
"19",0,24,35,3000,9.8,17.1,0,2,2,2
"20",0,21,30,6000,30.2,2.1,0,3,1,1
"21",0,23,24,3000,12.4,0.9,0,3,1,2
"22",0,24,50,1700,1.4,1.9,0,1,1,2
"23",0,21,42,4000,12.1,10.1,2,3,2,1
"24",0,19,28,2500,1,NA,0,3,1,1
"25",0,24,42,1500,7,0.1,2,1,2,2
"26",0,21,45,1000,6.3,14.9,1,1,2,1
"27",0,23,25,3000,0.9,1.5,0,3,1,2
"28",0,24,33,4000,2.5,4.2,3,3,2,1
"29",0,4,26,3500,26.8,2.7,0,3,1,2
"30",0,24,48,1000,11,5.5,1,1,2,2
"31",0,14,37,2000,8.9,NA,2,3,2,1
"32",0,18,34,1900,10.3,18.1,0,3,2,1
"33",0,22,32,2000,1.9,6,0,1,1,2
"34",1,18,36,2000,0.3,3.5,0,3,3,2
"35",0,17,46,2100,8.6,0.2,0,3,2,1
"36",0,24,48,1000,16.9,NA,0,3,2,2
"37",0,24,21,1500,2.2,2,0,3,1,2
"38",0,21,31,900,1.5,12.5,0,3,1,1
"39",1,24,20,1100,20.6,4.6,0,3,1,2
"40",0,24,35,3200,4.1,3.2,0,1,1,1
"41",0,24,36,3200,4,NA,0,3,1,1
"42",0,21,51,2900,28,29,0,3,1,1
"43",0,24,46,1000,10.7,5.7,2,1,2,1
"44",0,24,22,1500,4,3.1,0,3,1,2
"45",0,23,44,500,6.4,20.4,2,3,2,1
"46",0,24,34,2000,4.1,15.7,0,1,2,1
"47",0,24,49,1500,0.2,15.3,1,1,2,2
"48",0,21,44,2000,16.1,20.1,2,3,2,1
"49",0,24,21,2000,9.6,5.9,0,1,1,2
"50",0,24,26,2000,9.2,1.5,0,3,1,2
"51",0,24,22,1000,22.1,4.1,0,3,1,2
"52",0,11,40,1000,0.3,5.3,3,1,2,2
"53",0,24,26,2000,7.3,0.4,1,1,1,2
"54",0,24,36,3000,9.9,17.2,3,3,2,1
"55",1,3,25,1400,3.2,6.3,0,3,1,1
"56",0,18,26,1800,1.4,6.2,0,3,1,1
"57",1,15,27,4500,1.2,11.1,1,3,2,2
"58",0,16,42,1800,17.7,4.7,3,1,3,2
"59",0,24,27,1000,3.8,0.1,0,3,1,2
"60",0,24,51,6950,18.3,28.3,0,3,2,1
"61",0,24,29,2000,3.4,12.7,0,1,2,2
"62",0,14,27,NA,0.4,0.9,0,3,1,2
"63",0,18,41,2400,20.6,3.1,0,3,1,1
"64",0,23,44,1350,5.8,20.1,0,3,2,2
